"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
,dmp/contributor/affiliation/federal_department_or_agency/name,TRUE,,0786fe77-4d46-4f60-9630-02d60a2935ae,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0786fe77-4d46-4f60-9630-02d60a2935ae,done,,,,controlled vocabulary,required IF,if a federal dept or agency is a contributor,NA,0..1,,,,,,,,,federal_department_or_agency_name,fédéral_département_ou_agence_nom,,KT see comments line 49,,,,,
,dmp/contributor/affiliation/federal_department_or_agency/organizational_group,TRUE,,70d74693-8d50-4e09-96f3-6c609080c932,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=70d74693-8d50-4e09-96f3-6c609080c932,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,federal_department_or_agency_organizational_group,fédéral_département_ou_agence_group_organisationnelle,,KT yes,,,,,
,dmp/contributor/affiliation/federal_department_or_agency/organizational_subgroup,TRUE,,3ceaa4ed-49c3-49ef-b4e3-1783e65b1b84,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3ceaa4ed-49c3-49ef-b4e3-1783e65b1b84,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,federal_department_or_agency_organizational_subgroup,fédéral_département_ou_agence_group_organisationnelle_sousgroupe,,KT yes,,,,,
,dmp/contributor/affiliation/indigenous_government_name,TRUE,,17c7d099-faa9-4586-b988-92e065d68ff9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=17c7d099-faa9-4586-b988-92e065d68ff9,changed,,foaf:name attritube,,string (free-form text),optional,,NA,0..1,,,,,,,,,indigenous_government_name,gouvernement_autochtone_nom,,KT yes,,,,,
,dmp/contributor/affiliation/indigenous_ngo_name,TRUE,,8b9d327c-9c6e-4bec-adf9-c250bb4ed8ea,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8b9d327c-9c6e-4bec-adf9-c250bb4ed8ea,changed,,foaf:name attritube,,string (free-form text),optional,,NA,0..1,,,,,,,,,affiliation_indigenous_ngo_name,affiliation_autochtone_ong_nom,,,,,,,
,dmp/contributor/affiliation/municipality_name,TRUE,,bf28ac44-0dce-49c5-baac-c30fddc58a7e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=bf28ac44-0dce-49c5-baac-c30fddc58a7e,changed,,Municipality Class with name attribute,,string (free-form text),optional,,NA,0..1,,,,,,,,,municipality_name,municipalité_nom,,KT yes,,,,,
,dmp/contributor/affiliation/non_profit/,TRUE,,023d0c4d-ff92-403a-bc7c-1686ea27e297,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=023d0c4d-ff92-403a-bc7c-1686ea27e297,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/non_profit/name,TRUE,,bdd43925-0a83-487f-b387-c43ecb871d23,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=bdd43925-0a83-487f-b387-c43ecb871d23,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,non_profit_name,organisation_but_nonlucratif_nom,,KT yes,,,,,
,dmp/contributor/affiliation/non_profit/non_profit_id/,TRUE,,f4af895a-c060-4891-8180-d4283262b963,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f4af895a-c060-4891-8180-d4283262b963,done,,,,,required IF,,NA,0..1,,,,,,,,,,,,KT see comments,,,"KT: similar changes as situations above; for consistency with RDA standard, if choose non-profit, then must provide an id (a container that consists of mandatory identifier and type properties)",ok (CCA),
,dmp/contributor/affiliation/non_profit/non_profit_id/identifier,TRUE,,cd6812de-f029-416e-8e26-0b87d064220f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cd6812de-f029-416e-8e26-0b87d064220f,done,,,,string (free-form text),required IF,if a nonprofit is a contributor,NA,0..1,,,,,,,,,non_profit_id_identifier,organisation_but_nonlucratif_id_identificateur,,KT see comments line 56,,,,,
,dmp/contributor/affiliation/non_profit/non_profit_id/type,TRUE,,a8df453a-c41d-48b0-8a3a-a5f00ffcb941,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a8df453a-c41d-48b0-8a3a-a5f00ffcb941,done,,,,string (free-form text),required IF,if a nonprofit is a contributor,NA,0..1,,,,,,,,,non_profit_id_type,organisation_but_nonlucratif_type,,KT see comments line 56,,,,,
,dmp/contributor/affiliation/province_state/,TRUE,,2e3b6889-3868-4aa8-af63-07f8c6d0544c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2e3b6889-3868-4aa8-af63-07f8c6d0544c,done,,,,,optional,,NA,0..1,,,,,,,,,,,,KT yes,,,,,
,dmp/contributor/affiliation/province_state/code,TRUE,,5d51676b-2154-469e-9792-bb8138cdf8f2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=5d51676b-2154-469e-9792-bb8138cdf8f2,done,,,,controlled vocabulary,required IF,if the contributor's province#state is identified,NA,0..1,,,,,,,,,province_state_code,province_état_code,,KT see comments,,,"KT: similar to above situations, if choose to describe province state, must provide code and name",ok (CCA),
,dmp/contributor/affiliation/province_state/name,TRUE,,78668ef8-9a49-4a19-9c11-2f431a1da784,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=78668ef8-9a49-4a19-9c11-2f431a1da784,done,,,,controlled vocabulary,required IF,if the contributor's province#state is identified,NA,0..1,,,,,,,,,province_state_name,province_état_nom,,KT see comments line 61,,,,,
,dmp/contributor/contributor_id/,TRUE,,6295a55d-48d7-4f3c-961a-45b38eeea41f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=6295a55d-48d7-4f3c-961a-45b38eeea41f,done,,,,nested data structure,required IF,,1,,,,,,,,,,,,pgd/contributeur/contributeur_id/,KT yes,AR yes,,KT: added cardinality and data type,,
,dmp/contributor/contributor_id/identifier,TRUE,,f8b226d2-1959-4c23-ac70-bc00b59d2b97,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f8b226d2-1959-4c23-ac70-bc00b59d2b97,done,,,1111-1111-1111-1111,string (free-form text),required,,1,,,,O,nameIdentifier,,,,,contributor_id_identifier,contributeur_id_identificateur,pgd/contributeur/contributeur_id/identificateur,KT yes,AR yes,,,,
,dmp/contributor/contributor_id/type,TRUE,,3ad31416-f787-4187-b199-8ed1e9860b24,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3ad31416-f787-4187-b199-8ed1e9860b24,done,,,orcid,controlled vocabulary,required,,1,,,,M if nameIdentifier,,,,,,contributor_id_type,contributeur_id_type,pgd/contributeur/contributeur_id/type,KT yes,AR no,,,"AR: should only the contact have an ID, this may be considered optional as some of the ""contributors"" may not have readily available IDs (e.g., ORCID)",
,dmp/contributor/mbox,TRUE,,3a2ffc13-6a0e-4976-bb34-14ab6d938348,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3a2ffc13-6a0e-4976-bb34-14ab6d938348,done,,,yyyyyy@canada.ca,string (free-form text),optional,,0..1,,,,,,,,,,contributor_mbox,contributeur_courriel,pgd/contributeur/contributeur_id/courriel,KT yes,AR yes,,,,
,dmp/contributor/name,TRUE,,6155ad47-3d1e-4488-9f2a-742de1e56580,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=6155ad47-3d1e-4488-9f2a-742de1e56580,done,,,Christopher Robin,string (free-form text),required,,1,,,,"M if creator
R if contributor","creatorName with language attribute
nameType
givenName
familyName
-----
contributorName  with language attribute
nameType
givenName
familyName",,,,,contributor_name,contributeur_nom,pgd/contributeur/contributeur_id/nom,KT yes,AR yes,,KT: added cardinality,ok (CCA),
,dmp/contributor/role,TRUE,,829dcda6-db8a-40ac-819a-92b9b52490f5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=829dcda6-db8a-40ac-819a-92b9b52490f5,done,,,indigenous traditional knowledge keeper,controlled vocabulary  (list - separate multiple items with commas),required,,1..n,,,,M if there is a contributor,contributorType (1),,,,,contributor_role,contributeur_rôle,pgd/contributeur/contributeur_id/rôle,KT yes,AR yes,,KT: is string in RDA Common Standard. To be implemented using a CV in the GC?,correct; CV for GC (CCA),
,dmp/contributor/succession_plan,TRUE,,eb1aca76-a33b-4e2a-a872-83ab907b26dc,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=eb1aca76-a33b-4e2a-a872-83ab907b26dc,done,,,"No plan, project falls appart when contributor leaves.",string (free-form text),required,,NA,1,Tri-Agency,,,,,,,,contributor_succession_plan,contributeur_plan_succession,pgd/contributeur/plan_succession,KT yes,AR yes,,,,
"4. RESOURCES - nested data structure
For specifying equipment needed/used to create or process the data, e.g. a microscope, etc.",dmp/dataset/technical_resource/,TRUE,,e33ae210-62fe-4665-b836-e71660325a06,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e33ae210-62fe-4665-b836-e71660325a06,done,,,,nested data structure,optional,,0..n,,,"Y, when pertinent to rendering record accurately (Technical Environment Information)",,,,,,,,,pgd/données/ressource_technique,KT yes,AR yes,,KT: added cardinality and data type,ok (CCA),
,dmp/dataset/technical_resource/description,TRUE,,45b61cd4-057a-40ff-873f-5558acf3568c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=45b61cd4-057a-40ff-873f-5558acf3568c,done,,,Device needed to collect sun data...,string (free-form text),optional,,0..1,,,,,,,,,,technical_resource_description,ressource_technique_description,pgd/données/ressource_technique/description,KT yes,AR yes,,,,
,dmp/dataset/technical_resource/inventory_label,TRUE,,c3bb62fd-f290-40cd-a59f-ce94b400d095,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c3bb62fd-f290-40cd-a59f-ce94b400d095,done,,added to TechnicalResource,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/resource_type,TRUE,,c3bb62fd-f290-40cd-a59f-ce94b400d095,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c3bb62fd-f290-40cd-a59f-ce94b400d095,done,dcso:resourceType,,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/technical_resource/name,TRUE,,2426addd-293b-4829-b87b-f3dd6b594516,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2426addd-293b-4829-b87b-f3dd6b594516,done,,,123/45/43/AT,string (free-form text),required IF,if there a technical resource is identified,1,,,,,,,,,,technical_resource_name,ressource_technique_nom,pgd/données/ressource_technique,KT yes,AR yes,,,,
Computing environment,dmp/dataset/computing_environment/,TRUE,,286005fe-0d74-4262-8a89-386eaf73a2cd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=286005fe-0d74-4262-8a89-386eaf73a2cd,,,Covered by dcso:Host,,,required IF,if the dataset is dependent on the computing environment,NA,0..n,,"Y, ""technical environment information "" in draft ""Metadata Standard for Transfers of Digital Archival Government Records to Library and Archives Canada""",,,,,,LAC,,,,KT see comment,,,"KT: suggesting ""required if"" (i.e., if archival)",ok (CCA),
,dmp/dataset/computing_environment/character_encoding_standard,TRUE,,ca14710a-ae67-4d18-93d8-5fec293df07a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ca14710a-ae67-4d18-93d8-5fec293df07a,,,,UTF-16,controlled vocabulary,required IF,if required to read the character set,NA,0..1,,,,,,,,LAC,character_encoding_standard,caractères_codage_norme,,,,,,,
,dmp/dataset/computing_environment/character_unicode_block,TRUE,,f16d621f-828b-4475-9d2a-045c99d32da2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f16d621f-828b-4475-9d2a-045c99d32da2,,,,Unified Canadian Aboriginal Syllabics Extended,controlled vocabulary,required IF,if required to read the character set,NA,0..1,,,,,,,,LAC,character_unicode_block,caractères_block_unicode,,,,,,,
,dmp/dataset/computing_environment/computer_code_description,TRUE,,fb8071d0-b3a8-46d5-a7f8-650ba2cb42fd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=fb8071d0-b3a8-46d5-a7f8-650ba2cb42fd,,,,,string (free-form text),required IF,if there is computer code,NA,0..1,,,,,,,,LAC; Data strategy roadmap; Open science roadmap,computer_code_description,code_informatique_description,,KT yes,,,"KT: curious what the condition is here? if use 'computing_environment', all of its contained properties must be filled out?","no, not all of it's contained properties are necessarily applicable (CCA) ",
,dmp/dataset/computing_environment/computer_code_download,TRUE,,d7c2f9a8-f656-49a3-a304-6669c558a074,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d7c2f9a8-f656-49a3-a304-6669c558a074,,,,,uri,required IF,if there is computer code,NA,0..1,,,,,,,,LAC; Data strategy roadmap; Open science roadmap,computer_code_download,code_informatique_télécharger,,KT yes,,,,,
,dmp/dataset/computing_environment/computer_code_license,TRUE,,96bfb2bd-f8bd-4fd0-b494-876830af5935,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=96bfb2bd-f8bd-4fd0-b494-876830af5935,,,,https://choosealicense.com/licenses/mit/,controlled vocabulary,required IF,if there is computer code,NA,0..1,,,,,,,,LAC; Data strategy roadmap; Open science roadmap,computer_code_license,code_informatique_licence,,KT yes,,,,,
,dmp/dataset/computing_environment/computer_code_programming_language,TRUE,,e6c28bb6-9cf3-4379-adf0-061ba8d302e1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e6c28bb6-9cf3-4379-adf0-061ba8d302e1,,,,R,controlled vocabulary,required IF,if there is computer code,NA,0..1,,,,,,,,LAC,computer_code_programming_language,code_informatique_langue_programmation,,KT yes,,,,,
,dmp/dataset/computing_environment/operating_system_description,TRUE,,a85e2c0c-b40b-478d-b7b8-84222f8c05ae,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a85e2c0c-b40b-478d-b7b8-84222f8c05ae,,,,,string (free-form text),required IF,if OS dependent,NA,0..1,,,,,,,,LAC,operating_system_description,système_opérateur_description,,KT yes,,,"KT: changed to ""required if"" (consistent with other computing_environment properties)",ok (CCA),
,dmp/dataset/computing_environment/operating_system_name,TRUE,,05cb3bc6-1865-4a34-ac4f-2b963034b1ba,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=05cb3bc6-1865-4a34-ac4f-2b963034b1ba,,,,linux,controlled vocabulary,required IF,if OS dependent,NA,0..1,,,,,,,,LAC,operating_system_name,système_opérateur_nom,,KT yes,,,,,
,dmp/dataset/computing_environment/propietary_software,TRUE,,50f1e487-a88b-4d0d-98d3-518eca6295b7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=50f1e487-a88b-4d0d-98d3-518eca6295b7,,,,yes,controlled vocabulary,required IF,if proprietary software needed,NA,0..1,,,,,,,,,propietary_software,logiciel_propriétaire,,KT yes,,,,,
,dmp/dataset/computing_environment/propietary_software_justification,TRUE,,43ec37e4-cc61-4b1f-a581-3e166520a19c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=43ec37e4-cc61-4b1f-a581-3e166520a19c,,,,yes,controlled vocabulary,required IF,if proprietary software needed,NA,0..1,TBS?,,,,,,,,propietary_software_justification,logiciel_propriétaire_justification,,KT yes,,,,,
,dmp/dataset/computing_environment/propietary_software_migration_plan,TRUE,,3beb6b78-4925-4cde-8c51-f6f374bbabd5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3beb6b78-4925-4cde-8c51-f6f374bbabd5,,,,yes,controlled vocabulary,required IF,if proprietary software dependent,NA,0..1,TBS?,,,,,,,,propietary_software_migration_plan,logiciel_propriétaire_plan_migration,,KT yes,,,,,
,dmp/dataset/computing_environment/propietary_software_migration_plan_description,TRUE,,3beb6b78-4925-4cde-8c51-f6f374bbabd5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3beb6b78-4925-4cde-8c51-f6f374bbabd5,,,,,string (free-form text),required IF,if proprietary software dependent,NA,0..1,TBS?,,,,,,,,propietary_software_migration_plan_description,logiciel_propriétaire_plan_migration_description,,KT see comment,,,"KT: should this be ""required if"" (consistent with all other computing_environment properties and/or because might recommend providing it if proprietary_software_migration_plan was populated?",yes (CCA),
,dmp/dataset/computing_environment/software_description,TRUE,,44901e47-12eb-4f02-940a-b285c9e567c5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=44901e47-12eb-4f02-940a-b285c9e567c5,,,,,string (free-form text),required IF,if proprietary software dependent,NA,0..1,,,,,,,,LAC,software_description,logiciel_description,,KT yes,,,,,
,dmp/dataset/computing_environment/software_download,TRUE,,92f4e9b7-1fca-4df7-b142-bb5b8456adc4,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=92f4e9b7-1fca-4df7-b142-bb5b8456adc4,,,,https://github.com/yourstruly/bestcodeever,uri,required IF,if proprietary software dependent,NA,0..1,,,,,,,,LAC,software_download,logiciel_télécharger,,KT yes,,,,,
,dmp/dataset/computing_environment/software_name,TRUE,,9382f3f4-2db8-4b03-a4a5-7d2a205e486b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9382f3f4-2db8-4b03-a4a5-7d2a205e486b,,,,,string (free-form text),required IF,if proprietary software dependent,NA,0..1,,,,,,,,LAC,software_name,logiciel_nom,,KT yes,,,,,
"5. FUNDING - nested data structure
For specifying details on funded projects.",dmp/project/funding/,TRUE,,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,done,,,,nested data structure,required,,0..n,1..n,,,O,"fundingReference
funderName",,,,,,,pgd/projet/financement/,KT yes,AR yes,,KT: Added data type. Added cardinality and changed requirement to optional (matching RDA Common Standard) - unless you wanted it mandatory for the GC?,,
,dmp/project/funding/funder_id/,TRUE,,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,done,,,,nested data structure ,required IF,,1,,,,,,,,,,,,pgd/projet/financement/bailleur_id/,KT yes,AR yes,,KT: added cardinality,ok (CCA),
,dmp/project/funding/funder_id/identifier,TRUE,,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,done,,,,string (see CrossRef Funder Registry),required IF,,1,,,,O if fundingRerefence,"funderIdentifier
schemeURI",,,,,funder_id_dentifier,financement_bailleur_id_identificateur,pgd/projet/financement/bailleur_id/identificateur,KT yes,AR yes,,,,
,dmp/project/funding/funder_id/type,TRUE,,0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0b12fb8c-ee0f-40c0-9c53-b6826b786a0c,done,,,fundref,controlled vocabulary,required IF,,1,,,,O if funderIdentifier,funderIdentifierType,,,,,funder_id_type,financement_bailleur_id_type,pgd/projet/financement/bailleur_id/type,KT yes,AR yes,,,,
,dmp/project/funding/funding_status,TRUE,,54ff3b18-652f-4235-8f9f-3c87e2d63169,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=54ff3b18-652f-4235-8f9f-3c87e2d63169,done,,,planned,controlled vocabulary,required,,0..1,1,,,,,,,,,funding_status,financement_statut,pgd/projet/financement/statut,KT yes,AR yes,,,,
,dmp/project/funding/grant_id/,TRUE,,1ccbd0bb-4263-4240-9dc5-936ef09eef53,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1ccbd0bb-4263-4240-9dc5-936ef09eef53,done,,,,nested data structure,,,0..1,,,,,,,,,,,,pgd/projet/financement/subvention_id/,KT yes,AR yes,,KT: added cardinality. changed requirement to optional to match RDA Common Standard,ok (CCA),
,dmp/project/funding/grant_id/identifier,TRUE,,1ccbd0bb-4263-4240-9dc5-936ef09eef53,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1ccbd0bb-4263-4240-9dc5-936ef09eef53,done,,,12345-987654,string (free-form text),required IF,,1,,,,O if fundingReference,"awardNumber
awardURI
awardTitle",,,,,grant_id_identifier,subvention_id_identificateur,pgd/projet/financement/subvention_id/identificateur,KT yes,AR yes,,,,
,dmp/project/funding/grant_id/type,TRUE,,1ccbd0bb-4263-4240-9dc5-936ef09eef53,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1ccbd0bb-4263-4240-9dc5-936ef09eef53,done,,,url,controlled vocabulary,required IF,,1,,,,,,,,,,grant_id_type,subvention_id_type,pgd/projet/financement/subvention_id/type,KT yes,AR yes,,,,
,dmp/project/funding/source/,TRUE,,d0bb4f46-0658-410f-80c3-4624a17470dd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d0bb4f46-0658-410f-80c3-4624a17470dd,done,,,,,required,,NA,1..n,,,,,,,,,,,,KT see comments,,,KT: not sure what type of cardinality you wanted for this grouping?,,
,dmp/project/funding/source/description,TRUE,,a59e8e80-e176-4f54-899b-d62ea658d380,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a59e8e80-e176-4f54-899b-d62ea658d380,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,funding_source_description,financement_source_description,,KT see comments line 92,,,,,
,dmp/project/funding/source/exists,TRUE,,9cac04a1-59bb-4f49-a86d-9643e21eaa92,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9cac04a1-59bb-4f49-a86d-9643e21eaa92,done,,"yes, no, unknown? Needed",yes,controlled vocabulary,required,,NA,1,,,,,,,,,funding_source_exists,financement_source_existe,,KT see comments,,,"KT: you have ""required if"" here ... does that mean that funding_agreement (line 92) should be required?",I think it should be required for GC.,
,dmp/project/funding/source/type,TRUE,,c568cf88-db00-485e-ba79-95f255ed3bda,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c568cf88-db00-485e-ba79-95f255ed3bda,done,,,OCIO A-base,controlled vocabulary,required IF,"if funding_source_exists is ""yes""",NA,1..n,,,,,,,,,funding_type,financement_type,pgd/projet/financement/type,KT see comments line 92,AR yes,,,AR: cardinality of 0..1 makes sense to me,
"Cost - nested data structure
Provides a list of costs related to data management.
Providing multiple instances of a 'Cost' allows to break down costs into details. Providing one 'Cost' instance allows to provide one aggregated sum.",dmp/cost/,TRUE,,f7d07bb0-fca0-4198-80f0-8823dd886ee7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f7d07bb0-fca0-4198-80f0-8823dd886ee7,done,,,,nested data structure,optional,,0..n,,,,,,,,,,,,pgd/coûts/,KT yes,AR yes,,KT: changed cardinality to match RDA Common Standard,ok (CCA),
,dmp/cost/currency_code,TRUE,,03af62a4-ee81-490b-bf63-e6be542abd06,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=03af62a4-ee81-490b-bf63-e6be542abd06,done,,,USD,controlled vocabulary,required IF,if cost_value is provided,0..1,,,,,,,,,,currency_code,coûts_devise,pgd/coûts/devise,KT yes,AR yes,,,,
,dmp/cost/description,TRUE,,a0705c6c-0058-4ce9-accc-e9af1e821156,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a0705c6c-0058-4ce9-accc-e9af1e821156,done,,,Costs for running the project.,string (free-form text),optional,,0..1,,,,,,,,,,cost_description,coûts_description,pgd/coûts/description,KT yes,AR yes,,,,
,dmp/cost/title,TRUE,,b5aeb2e3-cf3d-4713-96e1-8108adb69532,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b5aeb2e3-cf3d-4713-96e1-8108adb69532,done,,,Cloud storage and software,string (free form text),required IF,if cost_value is provided,1,,,,,,,,,,cost_title,coûts_titre,pgd/coûts/titre,KT  yes,AR yes,,,,
,dmp/cost/value,TRUE,,0d449f05-c10e-426f-8dae-b162b0f0a9e9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0d449f05-c10e-426f-8dae-b162b0f0a9e9,done,,,"1,000,000",number,optional,,0..1,,,,,,,,,,cost_value,coûts_montant,pgd/coûts/montant,KT yes,AR yes,,,,
6. LEGAL OR ETHICAL ISSUES,dmp/ethical_issues_description,TRUE,,339dd696-f35a-47e0-bc2b-a40ba772bca3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=339dd696-f35a-47e0-bc2b-a40ba772bca3,done,,,There are ethical issues because...,string (free-form text),optional,,0..1,,,"Y, if still applies (Rights Management Information)",,,,,,,ethical_issues_description,enjeux_éthiques_description,pgd/enjeux_éthiques_description,KT yes,AR yes,,AR: the ethics section is coming from the RDA standard but is the ehtics reporting the same for government as it is in academia or industry? ,"Add additional human rights instructions to dmp ethical issues description, otherwise this info won't be interoperable with RDA compliant DMPs (CCA)",
